Keyword,Content,sentiment_score,Date_of_posting,Reply_status,reply_delay,Key_relevance,app_name
efficient driver,"quick efficient, driver friendly, and very pleasant company.",1,2025-09-11 18:24:33,0,,0.6336,Uber
pleasant company,"quick efficient, driver friendly, and very pleasant company.",1,2025-09-11 18:24:33,0,,0.4961,Uber
quick efficient,"quick efficient, driver friendly, and very pleasant company.",1,2025-09-11 18:24:33,0,,0.4826,Uber
friendly,"quick efficient, driver friendly, and very pleasant company.",1,2025-09-11 18:24:33,0,,0.3506,Uber
words awesome,awesome 👍,1,2025-09-11 18:19:27,0,,0.788,Uber
bad app,bad application,-1,2025-09-11 18:07:37,0,,1.0,Uber
application,bad application,-1,2025-09-11 18:07:37,0,,0.6501,Uber
ninety rides,Ninety nine out of a hundred rides were 👍,0,2025-09-11 18:04:01,0,,0.8478,Uber
turn notifications,"This app is useful on the occasion when I oversleep and miss the bus. I just wish they wouldn't use push notifications for advertising their deals. I don't like it when they randomly ding my phone throughout the day. Yes, I know I can turn off notifications, and I do. Then I need to turn them back on when I'm using it. I'd rather not have to do this. That's my only gripe with the app. I've never had a bad driver, and they always get me there on time for a reasonable price.",0,2025-09-11 17:55:47,0,,0.5979,Uber
app useful,"This app is useful on the occasion when I oversleep and miss the bus. I just wish they wouldn't use push notifications for advertising their deals. I don't like it when they randomly ding my phone throughout the day. Yes, I know I can turn off notifications, and I do. Then I need to turn them back on when I'm using it. I'd rather not have to do this. That's my only gripe with the app. I've never had a bad driver, and they always get me there on time for a reasonable price.",0,2025-09-11 17:55:47,0,,0.4517,Uber
driver time,"This app is useful on the occasion when I oversleep and miss the bus. I just wish they wouldn't use push notifications for advertising their deals. I don't like it when they randomly ding my phone throughout the day. Yes, I know I can turn off notifications, and I do. Then I need to turn them back on when I'm using it. I'd rather not have to do this. That's my only gripe with the app. I've never had a bad driver, and they always get me there on time for a reasonable price.",0,2025-09-11 17:55:47,0,,0.2902,Uber
advertising deals,"This app is useful on the occasion when I oversleep and miss the bus. I just wish they wouldn't use push notifications for advertising their deals. I don't like it when they randomly ding my phone throughout the day. Yes, I know I can turn off notifications, and I do. Then I need to turn them back on when I'm using it. I'd rather not have to do this. That's my only gripe with the app. I've never had a bad driver, and they always get me there on time for a reasonable price.",0,2025-09-11 17:55:47,0,,0.0978,Uber
don like,"This app is useful on the occasion when I oversleep and miss the bus. I just wish they wouldn't use push notifications for advertising their deals. I don't like it when they randomly ding my phone throughout the day. Yes, I know I can turn off notifications, and I do. Then I need to turn them back on when I'm using it. I'd rather not have to do this. That's my only gripe with the app. I've never had a bad driver, and they always get me there on time for a reasonable price.",0,2025-09-11 17:55:47,0,,0.0902,Uber
good driver,Good drivers,1,2025-09-11 17:43:38,0,,1.0,Uber
efficient driver,Good drivers,1,2025-09-11 17:43:38,0,,0.7679,Uber
good driver,very good,1,2025-09-11 17:39:30,0,,0.7071,Uber
experience uber,"worst experience I had with uber. it lets bike riders accept the ride even before the current ride ends. because of that I waited for so long and I missed my train. On cancelling of the ride because of time delay it charged me saying time and efforts of the rider got wasted, what about my time and efforts? I'm ready to pay for your ride time and effort, will you pay my train ticket fare and the alternate way I arranged to complete my travel?",-1,2025-09-11 17:34:40,0,,0.5197,Uber
time delay,"worst experience I had with uber. it lets bike riders accept the ride even before the current ride ends. because of that I waited for so long and I missed my train. On cancelling of the ride because of time delay it charged me saying time and efforts of the rider got wasted, what about my time and efforts? I'm ready to pay for your ride time and effort, will you pay my train ticket fare and the alternate way I arranged to complete my travel?",-1,2025-09-11 17:34:40,0,,0.341,Uber
cancelling,"worst experience I had with uber. it lets bike riders accept the ride even before the current ride ends. because of that I waited for so long and I missed my train. On cancelling of the ride because of time delay it charged me saying time and efforts of the rider got wasted, what about my time and efforts? I'm ready to pay for your ride time and effort, will you pay my train ticket fare and the alternate way I arranged to complete my travel?",-1,2025-09-11 17:34:40,0,,0.3101,Uber
train ticket,"worst experience I had with uber. it lets bike riders accept the ride even before the current ride ends. because of that I waited for so long and I missed my train. On cancelling of the ride because of time delay it charged me saying time and efforts of the rider got wasted, what about my time and efforts? I'm ready to pay for your ride time and effort, will you pay my train ticket fare and the alternate way I arranged to complete my travel?",-1,2025-09-11 17:34:40,0,,0.2956,Uber
effort,"worst experience I had with uber. it lets bike riders accept the ride even before the current ride ends. because of that I waited for so long and I missed my train. On cancelling of the ride because of time delay it charged me saying time and efforts of the rider got wasted, what about my time and efforts? I'm ready to pay for your ride time and effort, will you pay my train ticket fare and the alternate way I arranged to complete my travel?",-1,2025-09-11 17:34:40,0,,0.2421,Uber
excellent,excellent,1,2025-09-11 17:34:00,0,,1.0,Uber
nice experience,very nice experience,1,2025-09-11 17:32:46,0,,0.8839,Uber
ride experience,very nice experience,1,2025-09-11 17:32:46,0,,0.4958,Uber
helpfull,nice & helpfull,1,2025-09-11 17:29:59,0,,0.7831,Uber
nice experience,nice & helpfull,1,2025-09-11 17:29:59,0,,0.3891,Uber
good driver,not good,-1,2025-09-11 17:28:33,0,,0.6809,Uber
great drivers,Mostly great other then a few drivers that shouldn't be in customer service but most drivers are very kind 🙃😁 like the man that is a life coach and gives free sessions while you are in his car (which is absolutely amazing 😍🤩),1,2025-09-11 17:19:11,0,,0.6137,Uber
shouldn customer,Mostly great other then a few drivers that shouldn't be in customer service but most drivers are very kind 🙃😁 like the man that is a life coach and gives free sessions while you are in his car (which is absolutely amazing 😍🤩),1,2025-09-11 17:19:11,0,,0.3197,Uber
life coach,Mostly great other then a few drivers that shouldn't be in customer service but most drivers are very kind 🙃😁 like the man that is a life coach and gives free sessions while you are in his car (which is absolutely amazing 😍🤩),1,2025-09-11 17:19:11,0,,0.2755,Uber
free sessions,Mostly great other then a few drivers that shouldn't be in customer service but most drivers are very kind 🙃😁 like the man that is a life coach and gives free sessions while you are in his car (which is absolutely amazing 😍🤩),1,2025-09-11 17:19:11,0,,0.2185,Uber
don like,Mostly great other then a few drivers that shouldn't be in customer service but most drivers are very kind 🙃😁 like the man that is a life coach and gives free sessions while you are in his car (which is absolutely amazing 😍🤩),1,2025-09-11 17:19:11,0,,0.1321,Uber
aap bad,"India's wrost aap... very bad experience, without any reason deactivate driver id and earnings not for driver...",-1,2025-09-11 17:17:32,0,,0.4988,Uber
india,"India's wrost aap... very bad experience, without any reason deactivate driver id and earnings not for driver...",-1,2025-09-11 17:17:32,0,,0.4489,Uber
driver id,"India's wrost aap... very bad experience, without any reason deactivate driver id and earnings not for driver...",-1,2025-09-11 17:17:32,0,,0.4407,Uber
earnings,"India's wrost aap... very bad experience, without any reason deactivate driver id and earnings not for driver...",-1,2025-09-11 17:17:32,0,,0.1761,Uber
reason deactivate,"India's wrost aap... very bad experience, without any reason deactivate driver id and earnings not for driver...",-1,2025-09-11 17:17:32,0,,0.1711,Uber
excellent,Excelente,0,2025-09-11 17:16:11,0,,1.0,Uber
excellent,Excellent Service,1,2025-09-11 17:13:48,0,,1.0,Uber
service quality,Excellent Service,1,2025-09-11 17:13:48,0,,0.6481,Uber
good driver,Very Good 👍,1,2025-09-11 17:10:16,0,,0.613,Uber
good driver,very good,1,2025-09-11 17:07:37,0,,0.7071,Uber
bed good,very bed not good app for driver....,-1,2025-09-11 17:00:40,0,,0.5105,Uber
app driver,very bed not good app for driver....,-1,2025-09-11 17:00:40,0,,0.4896,Uber
good app,very bed not good app for driver....,-1,2025-09-11 17:00:40,0,,0.4759,Uber
driver id,very bed not good app for driver....,-1,2025-09-11 17:00:40,0,,0.4061,Uber
security hard,I would like to take the extra security off . it is too hard for me to handle.,-1,2025-09-11 16:50:29,0,,0.5737,Uber
extra security,I would like to take the extra security off . it is too hard for me to handle.,-1,2025-09-11 16:50:29,0,,0.557,Uber
like extra,I would like to take the extra security off . it is too hard for me to handle.,-1,2025-09-11 16:50:29,0,,0.1199,Uber
handle,I would like to take the extra security off . it is too hard for me to handle.,-1,2025-09-11 16:50:29,0,,0.1004,Uber
lilian sweet,wonderful!! Lilian is so sweet!,1,2025-09-11 16:49:28,0,,0.7756,Uber
wonderful lilian,wonderful!! Lilian is so sweet!,1,2025-09-11 16:49:28,0,,0.7479,Uber
nice drivers,dependable really nice drivers,1,2025-09-11 16:48:55,0,,0.7005,Uber
great drivers,dependable really nice drivers,1,2025-09-11 16:48:55,0,,0.6441,Uber
dependable really,dependable really nice drivers,1,2025-09-11 16:48:55,0,,0.5615,Uber
nice experience,dependable really nice drivers,1,2025-09-11 16:48:55,0,,0.2215,Uber
satisfying,very satisfying,1,2025-09-11 16:43:13,0,,0.8302,Uber
yaw driver,"Yaw was the driver this morning, he's so courteous and kind, I'm in a new city so I was having problems with getting on the app, but when Yaw came he gave me a new feeling for mankind, I'm really impressed with his mannerisms, well done Uber with this Young man, I would give him 100 points if I could.",1,2025-09-11 16:42:20,0,,0.6511,Uber
really impressed,"Yaw was the driver this morning, he's so courteous and kind, I'm in a new city so I was having problems with getting on the app, but when Yaw came he gave me a new feeling for mankind, I'm really impressed with his mannerisms, well done Uber with this Young man, I would give him 100 points if I could.",1,2025-09-11 16:42:20,0,,0.2751,Uber
getting app,"Yaw was the driver this morning, he's so courteous and kind, I'm in a new city so I was having problems with getting on the app, but when Yaw came he gave me a new feeling for mankind, I'm really impressed with his mannerisms, well done Uber with this Young man, I would give him 100 points if I could.",1,2025-09-11 16:42:20,0,,0.2117,Uber
courteous kind,"Yaw was the driver this morning, he's so courteous and kind, I'm in a new city so I was having problems with getting on the app, but when Yaw came he gave me a new feeling for mankind, I'm really impressed with his mannerisms, well done Uber with this Young man, I would give him 100 points if I could.",1,2025-09-11 16:42:20,0,,0.2039,Uber
new city,"Yaw was the driver this morning, he's so courteous and kind, I'm in a new city so I was having problems with getting on the app, but when Yaw came he gave me a new feeling for mankind, I'm really impressed with his mannerisms, well done Uber with this Young man, I would give him 100 points if I could.",1,2025-09-11 16:42:20,0,,0.1686,Uber
experience feels,the experience it feels so good ☺️,1,2025-09-11 16:41:43,0,,0.7047,Uber
feels good,the experience it feels so good ☺️,1,2025-09-11 16:41:43,0,,0.6457,Uber
ride experience,the experience it feels so good ☺️,1,2025-09-11 16:41:43,0,,0.5585,Uber
bed good,the experience it feels so good ☺️,1,2025-09-11 16:41:43,0,,0.2261,Uber
takes ages,Takes AGES to arrive.,0,2025-09-11 16:36:22,0,,0.6733,Uber
arrive,Takes AGES to arrive.,0,2025-09-11 16:36:22,0,,0.6589,Uber
bots access,If only there was a way to give 0 stars. They deploy bots to access situations. To get a human to talk with in their organisation is like climbing Mount Everest. edit- wish I could negative ratings,-1,2025-09-11 16:35:10,0,,0.475,Uber
talk organisation,If only there was a way to give 0 stars. They deploy bots to access situations. To get a human to talk with in their organisation is like climbing Mount Everest. edit- wish I could negative ratings,-1,2025-09-11 16:35:10,0,,0.425,Uber
stars deploy,If only there was a way to give 0 stars. They deploy bots to access situations. To get a human to talk with in their organisation is like climbing Mount Everest. edit- wish I could negative ratings,-1,2025-09-11 16:35:10,0,,0.3844,Uber
negative ratings,If only there was a way to give 0 stars. They deploy bots to access situations. To get a human to talk with in their organisation is like climbing Mount Everest. edit- wish I could negative ratings,-1,2025-09-11 16:35:10,0,,0.3365,Uber
like climbing,If only there was a way to give 0 stars. They deploy bots to access situations. To get a human to talk with in their organisation is like climbing Mount Everest. edit- wish I could negative ratings,-1,2025-09-11 16:35:10,0,,0.1569,Uber
wrong gps,Wrong GPs the entire trip sending me to the wrong area and charging way too much,-1,2025-09-11 16:33:39,0,,0.7507,Uber
area charging,Wrong GPs the entire trip sending me to the wrong area and charging way too much,-1,2025-09-11 16:33:39,0,,0.4476,Uber
entire trip,Wrong GPs the entire trip sending me to the wrong area and charging way too much,-1,2025-09-11 16:33:39,0,,0.3071,Uber
sending,Wrong GPs the entire trip sending me to the wrong area and charging way too much,-1,2025-09-11 16:33:39,0,,0.0578,Uber
bed good,good,1,2025-09-11 16:33:27,0,,1.0,Uber
app blocked,"didn't get a message 5 times, the app blocked my number",-1,2025-09-11 16:28:52,0,,0.6372,Uber
blocked number,"didn't get a message 5 times, the app blocked my number",-1,2025-09-11 16:28:52,0,,0.5813,Uber
message times,"didn't get a message 5 times, the app blocked my number",-1,2025-09-11 16:28:52,0,,0.4395,Uber
didn,"didn't get a message 5 times, the app blocked my number",-1,2025-09-11 16:28:52,0,,0.2046,Uber
charging drivers,Uber needs to start charging drivers for cancelling and being late,-1,2025-09-11 16:27:30,0,,0.5958,Uber
cancelling,Uber needs to start charging drivers for cancelling and being late,-1,2025-09-11 16:27:30,0,,0.5649,Uber
fraud uber,Uber needs to start charging drivers for cancelling and being late,-1,2025-09-11 16:27:30,0,,0.4596,Uber
needs start,Uber needs to start charging drivers for cancelling and being late,-1,2025-09-11 16:27:30,0,,0.0793,Uber
friendly,friendly driver,1,2025-09-11 16:24:52,0,,1.0,Uber
driver id,friendly driver,1,2025-09-11 16:24:52,0,,0.731,Uber
bed good,good,1,2025-09-11 16:23:49,0,,1.0,Uber
friendly,"Timely , friendly. Great conversation.",1,2025-09-11 16:20:35,0,,0.699,Uber
great conversation,"Timely , friendly. Great conversation.",1,2025-09-11 16:20:35,0,,0.6124,Uber
great quiet,"Timely , friendly. Great conversation.",1,2025-09-11 16:20:35,0,,0.3226,Uber
veri bed,veri bed,0,2025-09-11 16:20:30,0,,1.0,Uber
bed good,good,1,2025-09-11 16:10:32,0,,1.0,Uber
prompt professional,Prompt & Professional,0,2025-09-11 16:09:35,0,,0.9759,Uber
bed good,good,1,2025-09-11 16:07:35,0,,1.0,Uber
easy use,easy to use,1,2025-09-11 15:55:44,0,,0.9507,Uber
easy use,"great easy to use and service quick, car and driver ideal.",1,2025-09-11 15:53:31,0,,0.5505,Uber
car driver,"great easy to use and service quick, car and driver ideal.",1,2025-09-11 15:53:31,0,,0.4346,Uber
service quality,"great easy to use and service quick, car and driver ideal.",1,2025-09-11 15:53:31,0,,0.3393,Uber
great quiet,"great easy to use and service quick, car and driver ideal.",1,2025-09-11 15:53:31,0,,0.2393,Uber
ideal,"great easy to use and service quick, car and driver ideal.",1,2025-09-11 15:53:31,0,,0.192,Uber
use turo,I would always use Turo for my travels until 2025 when in turned dangerous for clients (being targeted)..... now I'm happy not driving,0,2025-09-11 15:52:42,0,,0.6623,Uber
travels 2025,I would always use Turo for my travels until 2025 when in turned dangerous for clients (being targeted)..... now I'm happy not driving,0,2025-09-11 15:52:42,0,,0.3784,Uber
dangerous clients,I would always use Turo for my travels until 2025 when in turned dangerous for clients (being targeted)..... now I'm happy not driving,0,2025-09-11 15:52:42,0,,0.3223,Uber
happy driving,I would always use Turo for my travels until 2025 when in turned dangerous for clients (being targeted)..... now I'm happy not driving,0,2025-09-11 15:52:42,0,,0.2701,Uber
turned,I would always use Turo for my travels until 2025 when in turned dangerous for clients (being targeted)..... now I'm happy not driving,0,2025-09-11 15:52:42,0,,0.0807,Uber
special trip,"got united with my high school mate, who would have thought? special trip and day 🫠",0,2025-09-11 15:46:28,0,,0.5244,Uber
united high,"got united with my high school mate, who would have thought? special trip and day 🫠",0,2025-09-11 15:46:28,0,,0.4406,Uber
mate thought,"got united with my high school mate, who would have thought? special trip and day 🫠",0,2025-09-11 15:46:28,0,,0.3576,Uber
cancel today,"got united with my high school mate, who would have thought? special trip and day 🫠",0,2025-09-11 15:46:28,0,,0.1855,Uber
got,"got united with my high school mate, who would have thought? special trip and day 🫠",0,2025-09-11 15:46:28,0,,0.1392,Uber
bed good,good,1,2025-09-11 15:45:46,0,,1.0,Uber
bed good,good,1,2025-09-11 15:45:18,0,,1.0,Uber
easy app,Convenient and easy app to use.,1,2025-09-11 15:42:53,0,,0.7773,Uber
app useful,Convenient and easy app to use.,1,2025-09-11 15:42:53,0,,0.708,Uber
convenient,Convenient and easy app to use.,1,2025-09-11 15:42:53,0,,0.5393,Uber
easy use,Convenient and easy app to use.,1,2025-09-11 15:42:53,0,,0.4393,Uber
waste time,waste of the time,-1,2025-09-11 15:41:40,0,,0.8834,Uber
time delay,waste of the time,-1,2025-09-11 15:41:40,0,,0.4835,Uber
gps info,Easy to use and navigate. GPS info is pretty accurate.,1,2025-09-11 15:37:55,0,,0.7517,Uber
use navigate,Easy to use and navigate. GPS info is pretty accurate.,1,2025-09-11 15:37:55,0,,0.4894,Uber
easy use,Easy to use and navigate. GPS info is pretty accurate.,1,2025-09-11 15:37:55,0,,0.4165,Uber
pretty accurate,Easy to use and navigate. GPS info is pretty accurate.,1,2025-09-11 15:37:55,0,,0.2538,Uber
excellent,Excellent,0,2025-09-11 15:37:30,0,,1.0,Uber
minutes irvine,can't find a ride for 40 minutes in Irvine!,-1,2025-09-11 15:35:04,0,,0.667,Uber
ride 40,can't find a ride for 40 minutes in Irvine!,-1,2025-09-11 15:35:04,0,,0.5367,Uber
ride experience,can't find a ride for 40 minutes in Irvine!,-1,2025-09-11 15:35:04,0,,0.4299,Uber
40 minutes,can't find a ride for 40 minutes in Irvine!,-1,2025-09-11 15:35:04,0,,0.3799,Uber
slow,very slow,-1,2025-09-11 15:31:48,0,,0.877,Uber
good driver,excellent good drive,1,2025-09-11 15:25:21,0,,0.8739,Uber
excellent,excellent good drive,1,2025-09-11 15:25:21,0,,0.5306,Uber
driver id,excellent good drive,1,2025-09-11 15:25:21,0,,0.4753,Uber
bed good,excellent good drive,1,2025-09-11 15:25:21,0,,0.3547,Uber
bed good,Very Good,1,2025-09-11 15:23:28,0,,0.7071,Uber
good customer,very good would to be an customer always.,1,2025-09-11 15:21:50,0,,0.622,Uber
good customer,Good,1,2025-09-11 15:05:08,0,,1.0,Uber
driver polite,"The driver was polite, his car is very clean and comfortable.",1,2025-09-11 15:05:04,0,,0.7852,Uber
car clean,"The driver was polite, his car is very clean and comfortable.",1,2025-09-11 15:05:04,0,,0.4824,Uber
clean comfortable,"The driver was polite, his car is very clean and comfortable.",1,2025-09-11 15:05:04,0,,0.4324,Uber
previous upi,the upi system was probably the best thing about your damn app. why did you have to go and make it worse. bring the previous upi system baaackk!,0,2025-09-11 15:04:50,0,,0.4487,Uber
damn app,the upi system was probably the best thing about your damn app. why did you have to go and make it worse. bring the previous upi system baaackk!,0,2025-09-11 15:04:50,0,,0.4257,Uber
best thing,the upi system was probably the best thing about your damn app. why did you have to go and make it worse. bring the previous upi system baaackk!,0,2025-09-11 15:04:50,0,,0.2229,Uber
make worse,the upi system was probably the best thing about your damn app. why did you have to go and make it worse. bring the previous upi system baaackk!,0,2025-09-11 15:04:50,0,,0.2021,Uber
probably,the upi system was probably the best thing about your damn app. why did you have to go and make it worse. bring the previous upi system baaackk!,0,2025-09-11 15:04:50,0,,0.0766,Uber
good customer,Good,1,2025-09-11 15:02:14,0,,1.0,Uber
safe drive,safe drive,0,2025-09-11 15:02:02,0,,1.0,Uber
driver id,safe drive,0,2025-09-11 15:02:02,0,,0.636,Uber
best thing,the best ever 😍💙,1,2025-09-11 14:53:44,0,,0.5943,Uber
love promotions,Definitely love the Promotions and Convienence.,1,2025-09-11 14:53:35,0,,0.7596,Uber
promotions convienence,Definitely love the Promotions and Convienence.,1,2025-09-11 14:53:35,0,,0.6486,Uber
definitely love,Definitely love the Promotions and Convienence.,1,2025-09-11 14:53:35,0,,0.4492,Uber
app posting,these days the app sucks as every time I book a ride someone or the other always asks for extra money and the irony is that the customer support never responds. I have personally recommended all my friends not to use the app by posting it to social media.,-1,2025-09-11 14:53:17,0,,0.5604,Uber
book ride,these days the app sucks as every time I book a ride someone or the other always asks for extra money and the irony is that the customer support never responds. I have personally recommended all my friends not to use the app by posting it to social media.,-1,2025-09-11 14:53:17,0,,0.3589,Uber
irony customer,these days the app sucks as every time I book a ride someone or the other always asks for extra money and the irony is that the customer support never responds. I have personally recommended all my friends not to use the app by posting it to social media.,-1,2025-09-11 14:53:17,0,,0.2365,Uber
sucks time,these days the app sucks as every time I book a ride someone or the other always asks for extra money and the irony is that the customer support never responds. I have personally recommended all my friends not to use the app by posting it to social media.,-1,2025-09-11 14:53:17,0,,0.1724,Uber
recommended friends,these days the app sucks as every time I book a ride someone or the other always asks for extra money and the irony is that the customer support never responds. I have personally recommended all my friends not to use the app by posting it to social media.,-1,2025-09-11 14:53:17,0,,0.1563,Uber
good customer,good,1,2025-09-11 14:49:07,0,,1.0,Uber
best service,best service,1,2025-09-11 14:47:30,0,,1.0,Uber
service quality,best service,1,2025-09-11 14:47:30,0,,0.7333,Uber
super,super,0,2025-09-11 14:47:02,0,,1.0,Uber
tipped cash,so good I tipped in cash.,1,2025-09-11 14:45:15,0,,0.7824,Uber
good tipped,so good I tipped in cash.,1,2025-09-11 14:45:15,0,,0.7095,Uber
good customer,so good I tipped in cash.,1,2025-09-11 14:45:15,0,,0.3238,Uber
happy driving,Happy,1,2025-09-11 14:43:28,0,,1.0,Uber
brilliant drivers,brilliant drivers especially with Uber One!,1,2025-09-11 14:42:13,0,,0.776,Uber
drivers especially,brilliant drivers especially with Uber One!,1,2025-09-11 14:42:13,0,,0.6017,Uber
especially uber,brilliant drivers especially with Uber One!,1,2025-09-11 14:42:13,0,,0.5739,Uber
friendly,"Not at all customer friendly. Driver takes a wrong route inspire of warning, and we are charged extra and not refunded. Pathetic service unable to pay through upi.",-1,2025-09-11 14:35:12,0,,0.5223,Uber
pay upi,"Not at all customer friendly. Driver takes a wrong route inspire of warning, and we are charged extra and not refunded. Pathetic service unable to pay through upi.",-1,2025-09-11 14:35:12,0,,0.3171,Uber
wrong route,"Not at all customer friendly. Driver takes a wrong route inspire of warning, and we are charged extra and not refunded. Pathetic service unable to pay through upi.",-1,2025-09-11 14:35:12,0,,0.2822,Uber
refunded pathetic,"Not at all customer friendly. Driver takes a wrong route inspire of warning, and we are charged extra and not refunded. Pathetic service unable to pay through upi.",-1,2025-09-11 14:35:12,0,,0.1776,Uber
service unable,"Not at all customer friendly. Driver takes a wrong route inspire of warning, and we are charged extra and not refunded. Pathetic service unable to pay through upi.",-1,2025-09-11 14:35:12,0,,0.1217,Uber
opwow,opwow,0,2025-09-11 14:34:42,0,,1.0,Uber
unnecessary charges,unnecessary charges lived and asking us to pay,-1,2025-09-11 14:32:55,0,,0.7293,Uber
charges lived,unnecessary charges lived and asking us to pay,-1,2025-09-11 14:32:55,0,,0.6632,Uber
asking pay,unnecessary charges lived and asking us to pay,-1,2025-09-11 14:32:55,0,,0.4562,Uber
opwow,wow,0,2025-09-11 14:30:04,0,,1.0,Uber
afford tipping,it's trying to trick you now in to tipping every time and most of us can't afford tipping with the high cost of living,-1,2025-09-11 14:27:58,0,,0.7291,Uber
cost living,it's trying to trick you now in to tipping every time and most of us can't afford tipping with the high cost of living,-1,2025-09-11 14:27:58,0,,0.3611,Uber
trick,it's trying to trick you now in to tipping every time and most of us can't afford tipping with the high cost of living,-1,2025-09-11 14:27:58,0,,0.2935,Uber
united high,it's trying to trick you now in to tipping every time and most of us can't afford tipping with the high cost of living,-1,2025-09-11 14:27:58,0,,0.1354,Uber
trying,it's trying to trick you now in to tipping every time and most of us can't afford tipping with the high cost of living,-1,2025-09-11 14:27:58,0,,0.0894,Uber
best service,The best,1,2025-09-11 14:25:03,0,,0.8889,Uber
uber qatar,"Uber Qatar is in sever need for top level attention. The customer experience is in bad shape and should be attended to urgently. Drivers and cars hygiene is inadequate to put it nicely, drivers continuously cancel rides after making customers wait for minutes on end, and the maps seem to have big tech glitches. Leadership should have a close look at the situation, I'm sure the monthly unrecognised profits are piling up.",-1,2025-09-11 14:21:47,0,,0.7144,Uber
maps big,"Uber Qatar is in sever need for top level attention. The customer experience is in bad shape and should be attended to urgently. Drivers and cars hygiene is inadequate to put it nicely, drivers continuously cancel rides after making customers wait for minutes on end, and the maps seem to have big tech glitches. Leadership should have a close look at the situation, I'm sure the monthly unrecognised profits are piling up.",-1,2025-09-11 14:21:47,0,,0.3143,Uber
leadership close,"Uber Qatar is in sever need for top level attention. The customer experience is in bad shape and should be attended to urgently. Drivers and cars hygiene is inadequate to put it nicely, drivers continuously cancel rides after making customers wait for minutes on end, and the maps seem to have big tech glitches. Leadership should have a close look at the situation, I'm sure the monthly unrecognised profits are piling up.",-1,2025-09-11 14:21:47,0,,0.1466,Uber
