Keyword,Content,sentiment_score,Date_of_posting,Reply_status,reply_delay,Key_relevance,app_name
stop,"stop asking for tips ,it's upto the customer",0,2025-09-11 17:17:12,0,,0.4341,Ola
toll fee,App does not mention about toll fee while selecting ride. Nor does it show break-up of the total fare during the ride.,0,2025-09-11 16:45:31,1,6.483333333333333,0.6211,Ola
selecting ride,App does not mention about toll fee while selecting ride. Nor does it show break-up of the total fare during the ride.,0,2025-09-11 16:45:31,1,6.483333333333333,0.3935,Ola
app doesn,App does not mention about toll fee while selecting ride. Nor does it show break-up of the total fare during the ride.,0,2025-09-11 16:45:31,1,6.483333333333333,0.3024,Ola
break total,App does not mention about toll fee while selecting ride. Nor does it show break-up of the total fare during the ride.,0,2025-09-11 16:45:31,1,6.483333333333333,0.146,Ola
mention drivers,App does not mention about toll fee while selecting ride. Nor does it show break-up of the total fare during the ride.,0,2025-09-11 16:45:31,1,6.483333333333333,0.0573,Ola
good driver,good drive,1,2025-09-11 16:41:21,1,11.816666666666666,1.0,Ola
drivers dont,good drive,1,2025-09-11 16:41:21,1,11.816666666666666,0.6767,Ola
wise good,good drive,1,2025-09-11 16:41:21,1,11.816666666666666,0.4051,Ola
best far,best,0,2025-09-11 16:12:17,1,10.433333333333334,1.0,Ola
wise good,good,1,2025-09-11 15:51:15,1,11.15,1.0,Ola
nice service,very nice service n price,1,2025-09-11 15:36:29,1,9.3,0.7115,Ola
service price,very nice service n price,1,2025-09-11 15:36:29,1,9.3,0.5918,Ola
loved service,very nice service n price,1,2025-09-11 15:36:29,1,9.3,0.491,Ola
price app,very nice service n price,1,2025-09-11 15:36:29,1,9.3,0.4609,Ola
nice person,very nice service n price,1,2025-09-11 15:36:29,1,9.3,0.2506,Ola
good behaviour,very good behaviour,1,2025-09-11 15:28:24,1,3.933333333333333,0.9024,Ola
wise good,very good behaviour,1,2025-09-11 15:28:24,1,3.933333333333333,0.4628,Ola
good service,Good service,1,2025-09-11 15:24:56,1,7.516666666666667,1.0,Ola
loved service,Good service,1,2025-09-11 15:24:56,1,7.516666666666667,0.6827,Ola
wise good,Good service,1,2025-09-11 15:24:56,1,7.516666666666667,0.4384,Ola
ola rides,Ola rides are good,1,2025-09-11 14:54:08,1,10.45,0.8842,Ola
prices good,Ola rides are good,1,2025-09-11 14:54:08,1,10.45,0.6701,Ola
rides ubder,Ola rides are good,1,2025-09-11 14:54:08,1,10.45,0.6105,Ola
drive ola,Ola rides are good,1,2025-09-11 14:54:08,1,10.45,0.6044,Ola
wise good,Ola rides are good,1,2025-09-11 14:54:08,1,10.45,0.1585,Ola
wise good,good,1,2025-09-11 14:40:52,1,1.0333333333333334,1.0,Ola
confirm ride,It takes a lot of time and does not even confirm the ride . better to use other apps,-1,2025-09-11 14:11:11,1,17.25,0.4897,Ola
apps,It takes a lot of time and does not even confirm the ride . better to use other apps,-1,2025-09-11 14:11:11,1,17.25,0.3858,Ola
takes lot,It takes a lot of time and does not even confirm the ride . better to use other apps,-1,2025-09-11 14:11:11,1,17.25,0.2075,Ola
time favorite,It takes a lot of time and does not even confirm the ride . better to use other apps,-1,2025-09-11 14:11:11,1,17.25,0.12,Ola
uber better,It takes a lot of time and does not even confirm the ride . better to use other apps,-1,2025-09-11 14:11:11,1,17.25,0.0521,Ola
rapido,chor company please don't book ola use rapido always best experience,0,2025-09-11 14:06:04,1,6.85,0.6508,Ola
chor company,chor company please don't book ola use rapido always best experience,0,2025-09-11 14:06:04,1,6.85,0.4802,Ola
book ola,chor company please don't book ola use rapido always best experience,0,2025-09-11 14:06:04,1,6.85,0.4689,Ola
worst experience,chor company please don't book ola use rapido always best experience,0,2025-09-11 14:06:04,1,6.85,0.3766,Ola
drivers dont,chor company please don't book ola use rapido always best experience,0,2025-09-11 14:06:04,1,6.85,0.1559,Ola
nood aap,This is a very good aap.,1,2025-09-11 13:52:48,1,8.766666666666667,0.8256,Ola
wise good,This is a very good aap.,1,2025-09-11 13:52:48,1,8.766666666666667,0.2321,Ola
ride confirm,Ride will not confirm soon,0,2025-09-11 13:51:46,1,10.133333333333333,0.8432,Ola
rides ubder,Ride will not confirm soon,0,2025-09-11 13:51:46,1,10.133333333333333,0.5849,Ola
confirm soon,Ride will not confirm soon,0,2025-09-11 13:51:46,1,10.133333333333333,0.5345,Ola
auto driver,bad experience for working professionals at 6 pm no one auto drives comes what kind of app is this bloody hell,-1,2025-09-11 13:33:30,1,9.0,0.6116,Ola
working professionals,bad experience for working professionals at 6 pm no one auto drives comes what kind of app is this bloody hell,-1,2025-09-11 13:33:30,1,9.0,0.3565,Ola
bad experience,bad experience for working professionals at 6 pm no one auto drives comes what kind of app is this bloody hell,-1,2025-09-11 13:33:30,1,9.0,0.3351,Ola
app bloody,bad experience for working professionals at 6 pm no one auto drives comes what kind of app is this bloody hell,-1,2025-09-11 13:33:30,1,9.0,0.3317,Ola
comes kind,bad experience for working professionals at 6 pm no one auto drives comes what kind of app is this bloody hell,-1,2025-09-11 13:33:30,1,9.0,0.0389,Ola
cancel trip,so many drivers cancel the ride to improve this system,0,2025-09-11 13:29:17,1,4.0,0.6875,Ola
drivers cancel,so many drivers cancel the ride to improve this system,0,2025-09-11 13:29:17,1,4.0,0.6722,Ola
ride improve,so many drivers cancel the ride to improve this system,0,2025-09-11 13:29:17,1,4.0,0.5443,Ola
drivers dont,so many drivers cancel the ride to improve this system,0,2025-09-11 13:29:17,1,4.0,0.4977,Ola
improvements recent,so many drivers cancel the ride to improve this system,0,2025-09-11 13:29:17,1,4.0,0.1843,Ola
etching,etching,0,2025-09-11 12:52:17,0,,1.0,Ola
app osam,Your app is very osam,-1,2025-09-11 12:47:39,1,6.75,0.7974,Ola
price app,Your app is very osam,-1,2025-09-11 12:47:39,1,6.75,0.5223,Ola
drivers rude,some drivers are very rude always asking for extra money.....bad behaviour,-1,2025-09-11 12:30:22,1,2.433333333333333,0.7639,Ola
extra money,some drivers are very rude always asking for extra money.....bad behaviour,-1,2025-09-11 12:30:22,1,2.433333333333333,0.338,Ola
good behaviour,some drivers are very rude always asking for extra money.....bad behaviour,-1,2025-09-11 12:30:22,1,2.433333333333333,0.2306,Ola
asking tips,some drivers are very rude always asking for extra money.....bad behaviour,-1,2025-09-11 12:30:22,1,2.433333333333333,0.2035,Ola
bad experience,some drivers are very rude always asking for extra money.....bad behaviour,-1,2025-09-11 12:30:22,1,2.433333333333333,0.162,Ola
bad response,good response,1,2025-09-11 12:25:23,1,7.766666666666667,1.0,Ola
response emergency,good response,1,2025-09-11 12:25:23,1,7.766666666666667,0.6187,Ola
wise good,good response,1,2025-09-11 12:25:23,1,7.766666666666667,0.4335,Ola
best far,Best,0,2025-09-11 12:16:42,1,5.416666666666667,1.0,Ola
deducted rides,"I booked 2 Ola parcel rides this week, money was deducted but the rides were not even confirmed. No refund initiated and no way to connect with Ola customer support. Very frustrating and unreliable experience.",-1,2025-09-11 12:16:26,1,10.833333333333334,0.6034,Ola
connect ola,"I booked 2 Ola parcel rides this week, money was deducted but the rides were not even confirmed. No refund initiated and no way to connect with Ola customer support. Very frustrating and unreliable experience.",-1,2025-09-11 12:16:26,1,10.833333333333334,0.4365,Ola
confirmed refund,"I booked 2 Ola parcel rides this week, money was deducted but the rides were not even confirmed. No refund initiated and no way to connect with Ola customer support. Very frustrating and unreliable experience.",-1,2025-09-11 12:16:26,1,10.833333333333334,0.381,Ola
parcel,"I booked 2 Ola parcel rides this week, money was deducted but the rides were not even confirmed. No refund initiated and no way to connect with Ola customer support. Very frustrating and unreliable experience.",-1,2025-09-11 12:16:26,1,10.833333333333334,0.3577,Ola
minute frustrating,"I booked 2 Ola parcel rides this week, money was deducted but the rides were not even confirmed. No refund initiated and no way to connect with Ola customer support. Very frustrating and unreliable experience.",-1,2025-09-11 12:16:26,1,10.833333333333334,0.1063,Ola
rakhi hai,faltu app hai puri asi tesi kr rakhi hai app ki,0,2025-09-11 12:08:36,1,3.5833333333333335,0.6861,Ola
faltu app,faltu app hai puri asi tesi kr rakhi hai app ki,0,2025-09-11 12:08:36,1,3.5833333333333335,0.5417,Ola
puri asi,faltu app hai puri asi tesi kr rakhi hai app ki,0,2025-09-11 12:08:36,1,3.5833333333333335,0.4687,Ola
tesi,faltu app hai puri asi tesi kr rakhi hai app ki,0,2025-09-11 12:08:36,1,3.5833333333333335,0.2885,Ola
wait krte,faltu app hai puri asi tesi kr rakhi hai app ki,0,2025-09-11 12:08:36,1,3.5833333333333335,0.2537,Ola
good service,very good service,1,2025-09-11 11:40:26,1,2.933333333333333,0.8937,Ola
loved service,very good service,1,2025-09-11 11:40:26,1,2.933333333333333,0.5967,Ola
wise good,very good service,1,2025-09-11 11:40:26,1,2.933333333333333,0.3583,Ola
wise good,good,1,2025-09-11 11:39:46,0,,1.0,Ola
foods delivered,"very poor support. ordered food from ola foods but not delivered, and still it is showing delivered and there is no chat support or voice support. I still not received any kind of solution from ola end, only ticket has been created.is this really a joke? waited for an hour for food but no use. showing delivered after 4 hours at midnight 12:30 am,ordered food at 8:15 pm.",-1,2025-09-11 11:20:46,1,2.65,0.5191,Ola
chat support,"very poor support. ordered food from ola foods but not delivered, and still it is showing delivered and there is no chat support or voice support. I still not received any kind of solution from ola end, only ticket has been created.is this really a joke? waited for an hour for food but no use. showing delivered after 4 hours at midnight 12:30 am,ordered food at 8:15 pm.",-1,2025-09-11 11:20:46,1,2.65,0.3886,Ola
ola end,"very poor support. ordered food from ola foods but not delivered, and still it is showing delivered and there is no chat support or voice support. I still not received any kind of solution from ola end, only ticket has been created.is this really a joke? waited for an hour for food but no use. showing delivered after 4 hours at midnight 12:30 am,ordered food at 8:15 pm.",-1,2025-09-11 11:20:46,1,2.65,0.3425,Ola
waited hour,"very poor support. ordered food from ola foods but not delivered, and still it is showing delivered and there is no chat support or voice support. I still not received any kind of solution from ola end, only ticket has been created.is this really a joke? waited for an hour for food but no use. showing delivered after 4 hours at midnight 12:30 am,ordered food at 8:15 pm.",-1,2025-09-11 11:20:46,1,2.65,0.3033,Ola
received,"very poor support. ordered food from ola foods but not delivered, and still it is showing delivered and there is no chat support or voice support. I still not received any kind of solution from ola end, only ticket has been created.is this really a joke? waited for an hour for food but no use. showing delivered after 4 hours at midnight 12:30 am,ordered food at 8:15 pm.",-1,2025-09-11 11:20:46,1,2.65,0.2028,Ola
best app,best app,1,2025-09-11 10:56:58,1,5.716666666666667,1.0,Ola
price app,best app,1,2025-09-11 10:56:58,1,5.716666666666667,0.7419,Ola
best far,best app,1,2025-09-11 10:56:58,1,5.716666666666667,0.4603,Ola
worst final,worst,-1,2025-09-11 10:52:04,0,,1.0,Ola
super,super,0,2025-09-11 10:51:44,1,10.916666666666666,1.0,Ola
good service,very good service,1,2025-09-11 10:50:57,1,2.0833333333333335,0.8937,Ola
loved service,very good service,1,2025-09-11 10:50:57,1,2.0833333333333335,0.5967,Ola
wise good,very good service,1,2025-09-11 10:50:57,1,2.0833333333333335,0.3583,Ola
safety ride,safety ride 😀 very cheap prices,1,2025-09-11 10:38:29,0,,0.6907,Ola
ride cheap,safety ride 😀 very cheap prices,1,2025-09-11 10:38:29,0,,0.6558,Ola
cheap prices,safety ride 😀 very cheap prices,1,2025-09-11 10:38:29,0,,0.5191,Ola
safety wellbeing,safety ride 😀 very cheap prices,1,2025-09-11 10:38:29,0,,0.4667,Ola
rides ubder,safety ride 😀 very cheap prices,1,2025-09-11 10:38:29,0,,0.4664,Ola
notifications notifs,"- The app heats up the phone, it hangs the phone, it is heavy on phone. I have pixel 8 pro, and I have used ola on other devices too, same issue everywhere. - Lot of notifications, same notifs pop up multiple times throughout the day, sometimes back to back for 4-5 times, phone bell keeps on pinging it is annoying! When I go in option to turn off the notification, it shows that the advertisement is tagged under ride updates, so I can't really close the notifs coz then ride notifs will stop too!",-1,2025-09-11 10:31:42,1,11.616666666666667,0.4865,Ola
phone hangs,"- The app heats up the phone, it hangs the phone, it is heavy on phone. I have pixel 8 pro, and I have used ola on other devices too, same issue everywhere. - Lot of notifications, same notifs pop up multiple times throughout the day, sometimes back to back for 4-5 times, phone bell keeps on pinging it is annoying! When I go in option to turn off the notification, it shows that the advertisement is tagged under ride updates, so I can't really close the notifs coz then ride notifs will stop too!",-1,2025-09-11 10:31:42,1,11.616666666666667,0.4144,Ola
update,"- The app heats up the phone, it hangs the phone, it is heavy on phone. I have pixel 8 pro, and I have used ola on other devices too, same issue everywhere. - Lot of notifications, same notifs pop up multiple times throughout the day, sometimes back to back for 4-5 times, phone bell keeps on pinging it is annoying! When I go in option to turn off the notification, it shows that the advertisement is tagged under ride updates, so I can't really close the notifs coz then ride notifs will stop too!",-1,2025-09-11 10:31:42,1,11.616666666666667,0.3764,Ola
eats,"- The app heats up the phone, it hangs the phone, it is heavy on phone. I have pixel 8 pro, and I have used ola on other devices too, same issue everywhere. - Lot of notifications, same notifs pop up multiple times throughout the day, sometimes back to back for 4-5 times, phone bell keeps on pinging it is annoying! When I go in option to turn off the notification, it shows that the advertisement is tagged under ride updates, so I can't really close the notifs coz then ride notifs will stop too!",-1,2025-09-11 10:31:42,1,11.616666666666667,0.299,Ola
used ola,"- The app heats up the phone, it hangs the phone, it is heavy on phone. I have pixel 8 pro, and I have used ola on other devices too, same issue everywhere. - Lot of notifications, same notifs pop up multiple times throughout the day, sometimes back to back for 4-5 times, phone bell keeps on pinging it is annoying! When I go in option to turn off the notification, it shows that the advertisement is tagged under ride updates, so I can't really close the notifs coz then ride notifs will stop too!",-1,2025-09-11 10:31:42,1,11.616666666666667,0.2236,Ola
nice service,nice service,1,2025-09-11 10:23:32,1,8.283333333333333,1.0,Ola
loved service,nice service,1,2025-09-11 10:23:32,1,8.283333333333333,0.607,Ola
nice person,nice service,1,2025-09-11 10:23:32,1,8.283333333333333,0.401,Ola
wise good,good,1,2025-09-11 10:19:39,1,3.5833333333333335,1.0,Ola
ride related,there is no proper help provided for any ride related issues,-1,2025-09-11 09:47:45,1,4.233333333333333,0.5753,Ola
related issues,there is no proper help provided for any ride related issues,-1,2025-09-11 09:47:45,1,4.233333333333333,0.4229,Ola
help lot,there is no proper help provided for any ride related issues,-1,2025-09-11 09:47:45,1,4.233333333333333,0.1928,Ola
map proper,there is no proper help provided for any ride related issues,-1,2025-09-11 09:47:45,1,4.233333333333333,0.172,Ola
provided,there is no proper help provided for any ride related issues,-1,2025-09-11 09:47:45,1,4.233333333333333,0.1416,Ola
excellent,Excellent 👌👍!!.,1,2025-09-11 09:33:05,1,8.783333333333333,0.6028,Ola
fraud uber,fraud,-1,2025-09-11 09:22:00,1,10.183333333333334,1.0,Ola
good పర,good పర్సన్,1,2025-09-11 09:16:51,1,7.35,1.0,Ola
wise good,good పర్సన్,1,2025-09-11 09:16:51,1,7.35,0.794,Ola
సన,good పర్సన్,1,2025-09-11 09:16:51,1,7.35,0.5411,Ola
recharge app,I have got a really disappointing experience from OLA from my last ride . The driver dropped us in the mid way to the final destination after taking OTP he denied to go to the drop location.And dropped us on roadside during Rain and their is no action regarding our complaint against the driver and even worst was that we had got fully charged for this. Even yet we doesn't get any refund from the side and now the site is asking to recharge the app for it .,-1,2025-09-11 09:11:25,1,12.366666666666667,0.4886,Ola
ola rides,I have got a really disappointing experience from OLA from my last ride . The driver dropped us in the mid way to the final destination after taking OTP he denied to go to the drop location.And dropped us on roadside during Rain and their is no action regarding our complaint against the driver and even worst was that we had got fully charged for this. Even yet we doesn't get any refund from the side and now the site is asking to recharge the app for it .,-1,2025-09-11 09:11:25,1,12.366666666666667,0.4253,Ola
otp denied,I have got a really disappointing experience from OLA from my last ride . The driver dropped us in the mid way to the final destination after taking OTP he denied to go to the drop location.And dropped us on roadside during Rain and their is no action regarding our complaint against the driver and even worst was that we had got fully charged for this. Even yet we doesn't get any refund from the side and now the site is asking to recharge the app for it .,-1,2025-09-11 09:11:25,1,12.366666666666667,0.4155,Ola
dropped roadside,I have got a really disappointing experience from OLA from my last ride . The driver dropped us in the mid way to the final destination after taking OTP he denied to go to the drop location.And dropped us on roadside during Rain and their is no action regarding our complaint against the driver and even worst was that we had got fully charged for this. Even yet we doesn't get any refund from the side and now the site is asking to recharge the app for it .,-1,2025-09-11 09:11:25,1,12.366666666666667,0.3793,Ola
point,I have got a really disappointing experience from OLA from my last ride . The driver dropped us in the mid way to the final destination after taking OTP he denied to go to the drop location.And dropped us on roadside during Rain and their is no action regarding our complaint against the driver and even worst was that we had got fully charged for this. Even yet we doesn't get any refund from the side and now the site is asking to recharge the app for it .,-1,2025-09-11 09:11:25,1,12.366666666666667,0.1377,Ola
booking app,"The most pathetic cab booking app ever, tried to book an auto few times for my hospital visits, but never get one, I suggest people not to waste time and energy using this useless aap, rapido is far more better as compared to it.",-1,2025-09-11 08:51:57,1,13.7,0.5625,Ola
useless aap,"The most pathetic cab booking app ever, tried to book an auto few times for my hospital visits, but never get one, I suggest people not to waste time and energy using this useless aap, rapido is far more better as compared to it.",-1,2025-09-11 08:51:57,1,13.7,0.3497,Ola
rapido,"The most pathetic cab booking app ever, tried to book an auto few times for my hospital visits, but never get one, I suggest people not to waste time and energy using this useless aap, rapido is far more better as compared to it.",-1,2025-09-11 08:51:57,1,13.7,0.3474,Ola
pathetic cab,"The most pathetic cab booking app ever, tried to book an auto few times for my hospital visits, but never get one, I suggest people not to waste time and energy using this useless aap, rapido is far more better as compared to it.",-1,2025-09-11 08:51:57,1,13.7,0.3186,Ola
hospital visits,"The most pathetic cab booking app ever, tried to book an auto few times for my hospital visits, but never get one, I suggest people not to waste time and energy using this useless aap, rapido is far more better as compared to it.",-1,2025-09-11 08:51:57,1,13.7,0.312,Ola
wise good,Good,1,2025-09-11 08:28:43,1,3.6666666666666665,1.0,Ola
best service,Best Service,1,2025-09-11 08:23:11,1,9.616666666666667,1.0,Ola
loved service,Best Service,1,2025-09-11 08:23:11,1,9.616666666666667,0.7333,Ola
best far,Best Service,1,2025-09-11 08:23:11,1,9.616666666666667,0.5849,Ola
uber driver,"no customer services related to driver issues, no emergency helpline number ,no service center in Nagpur. if driver behave inappropriately we will be unable to register any complaint against them...",-1,2025-09-11 08:09:52,1,4.266666666666667,0.7135,Ola
emergency helpline,"no customer services related to driver issues, no emergency helpline number ,no service center in Nagpur. if driver behave inappropriately we will be unable to register any complaint against them...",-1,2025-09-11 08:09:52,1,4.266666666666667,0.2799,Ola
complaint,"no customer services related to driver issues, no emergency helpline number ,no service center in Nagpur. if driver behave inappropriately we will be unable to register any complaint against them...",-1,2025-09-11 08:09:52,1,4.266666666666667,0.2748,Ola
behave inappropriately,"no customer services related to driver issues, no emergency helpline number ,no service center in Nagpur. if driver behave inappropriately we will be unable to register any complaint against them...",-1,2025-09-11 08:09:52,1,4.266666666666667,0.1374,Ola
related issues,"no customer services related to driver issues, no emergency helpline number ,no service center in Nagpur. if driver behave inappropriately we will be unable to register any complaint against them...",-1,2025-09-11 08:09:52,1,4.266666666666667,0.0882,Ola
fast,fast pickup,0,2025-09-11 08:02:06,1,11.0,1.0,Ola
reach pickup,fast pickup,0,2025-09-11 08:02:06,1,11.0,0.7754,Ola
app bugging,app is bugging. rides are getting booked 30 mins after I've cancelled booking and closed the app.,-1,2025-09-11 07:59:12,1,3.6166666666666667,0.5833,Ola
booking closed,app is bugging. rides are getting booked 30 mins after I've cancelled booking and closed the app.,-1,2025-09-11 07:59:12,1,3.6166666666666667,0.4962,Ola
rides ubder,app is bugging. rides are getting booked 30 mins after I've cancelled booking and closed the app.,-1,2025-09-11 07:59:12,1,3.6166666666666667,0.3965,Ola
30 min,app is bugging. rides are getting booked 30 mins after I've cancelled booking and closed the app.,-1,2025-09-11 07:59:12,1,3.6166666666666667,0.2662,Ola
goes negative,app is bugging. rides are getting booked 30 mins after I've cancelled booking and closed the app.,-1,2025-09-11 07:59:12,1,3.6166666666666667,0.0587,Ola
waldemar awesome,Awesome,1,2025-09-11 07:15:41,1,8.233333333333333,1.0,Ola
loved service,very bad service. customer care team do not respond. also the app is third class. i have chased them on twitter still they did not respond.,-1,2025-09-11 06:48:51,1,3.4833333333333334,0.571,Ola
app class,very bad service. customer care team do not respond. also the app is third class. i have chased them on twitter still they did not respond.,-1,2025-09-11 06:48:51,1,3.4833333333333334,0.3984,Ola
twitter did,very bad service. customer care team do not respond. also the app is third class. i have chased them on twitter still they did not respond.,-1,2025-09-11 06:48:51,1,3.4833333333333334,0.2974,Ola
care team,very bad service. customer care team do not respond. also the app is third class. i have chased them on twitter still they did not respond.,-1,2025-09-11 06:48:51,1,3.4833333333333334,0.2294,Ola
shuttle purchased,very bad service. customer care team do not respond. also the app is third class. i have chased them on twitter still they did not respond.,-1,2025-09-11 06:48:51,1,3.4833333333333334,0.1655,Ola
ola foods,"Extremely disappointed with Ola Foods! Ordered from Gowda Donne Biryani on Sep 9, 2025 (Order #ONDC_890354XILthP), but food never arrived. App wrongly marked it as 'Delivered'. Raised a query, but support team didn't respond or refund. Unacceptable experience! Requesting others to be cautious. No refund, no apology, no resolution. Update your app and customer service, Ola Foods! Strongly recommend a customer helpline service!",-1,2025-09-11 06:40:35,1,1.7333333333333334,0.6383,Ola
